userName,score,at,content,clean,sentiment_score,sentiment,cluster,pca1,pca2
Muslik Sugianto,5,2025-05-25 16:35:18,baik,baik,0.0,neutral,1,-0.05241451680018932,-0.13063914759316997
Lukman Tunuu,5,2025-05-25 16:34:52,bagus dan membantu,bagus bantu,0.0,neutral,1,-0.09729764087415765,0.48018369821111617
Fun Min,5,2025-05-25 16:34:15,Suka sekali belanja di shopee.banyak bonus nya.mantap shopee.😊😊😊👍. 👍,suka sekali belanja shopeebanyak bonus nyamantap shopee,0.5423,positive,1,-0.06518943993478392,-0.048036652245842235
Indri Novita,5,2025-05-25 16:34:08,memuaskan,muas,0.0,neutral,1,-0.023770704692828132,-0.08307803811847264
Khanaya Assyifa,5,2025-05-25 16:31:06,belanja online yang mudah sekali,belanja online mudah sekali,0.0,neutral,1,-0.07913877663376588,-0.024223000239768176
arif fahrudin,5,2025-05-25 16:31:04,maknyus,maknyus,0.0,neutral,1,-0.02069141491680265,-0.06733851137160043
HN AMRI,5,2025-05-25 16:30:45,kurir rekomendasi shopee sangat cepat,kurir rekomendasi shopee sangat cepat,0.0,neutral,1,-0.10571313809726846,0.12076911568016395
Boy Min,5,2025-05-25 16:30:33,aplikasi yg sangat membuat belanja yg semakin mudah,aplikasi yg sangat buat belanja yg makin mudah,0.0,neutral,0,-0.12154719767673633,0.11254782797377372
akbar jaya,5,2025-05-25 16:29:28,Keren,keren,0.0,neutral,1,-0.02664222138143835,-0.08710472698368289
Wahyudi Arianto,5,2025-05-25 16:29:26,luar biasa,luar biasa,0.0,neutral,1,-0.022471075265027958,-0.06981499185724978
Agung Wijaya,5,2025-05-25 16:28:44,TOP MARKOTOP,top markotop,0.2023,positive,1,-0.022648261092904038,-0.07719317481559279
Lida Nur,5,2025-05-25 16:28:09,terbantu dengan ada nya shopee,bantu ada nya shopee,0.0,neutral,1,-0.11252899016677516,0.12923334387588353
Multi Hasby,5,2025-05-25 16:26:27,pelayanan bagus pengiriman sesuai terimakasih,layan bagus kirim sesuai terimakasih,0.0,neutral,2,-0.0750119017299123,0.188753641091207
Dashhh Ucihaa,5,2025-05-25 16:26:12,pelayanan Shopee terbaik,layan shopee baik,0.0,neutral,1,-0.0780208569387927,-0.10376828340911241
Samsi Nur iman,5,2025-05-25 16:25:21,belanja bisa di mana saja... simple,belanja di mana simple,0.0,neutral,1,-0.0572835624430508,-0.06977920285876948
Chece Abdul Manap,2,2025-05-25 16:25:08,"pengiriman lama banget sekarang udh 5 hari belum sampe"" 🤦",kirim lama banget sekarang udh hari sampe,0.0,neutral,1,-0.020067768070033236,-0.028801381610961747
Asqia Jpr,3,2025-05-25 16:24:54,bgus,bgus,0.0,neutral,1,-0.020691359741591843,-0.06733514695339023
fadzza laptop,5,2025-05-25 16:24:24,sangat membantu untuk keperluan berbelanja,sangat bantu perlu belanja,0.0,neutral,1,-0.14058704924318813,0.20648437210078963
Almahyra Almahyra,5,2025-05-25 16:23:17,mantap,mantap,0.0,neutral,1,0.9467811005571383,0.036887076522792155
Deril Permana,5,2025-05-25 16:21:47,Alhamdulillah aplikasi nya bagus dan proses cepat dan mudah,alhamdulillah aplikasi nya bagus proses cepat mudah,0.0,neutral,1,-0.10997144036749168,0.31728364571055423
Ahuat. Jr,5,2025-05-25 16:20:30,"belanja terjankau ,💯👍",belanja terjankau,0.0,neutral,1,-0.05721657058254337,-0.06178515832548768
Ahmadi Adi,5,2025-05-25 16:20:28,ok,,0.0,neutral,1,-0.018321767066477642,-0.056611238639814085
edi susanto,5,2025-05-25 16:20:16,ok,,0.0,neutral,1,-0.018321767066477642,-0.056611238639814085
Robby Waworuntu,5,2025-05-25 16:20:15,sesuai jadwal,sesuai jadwal,0.0,neutral,2,-0.03759966828801053,-0.0662365373633797
Keluarga Asnawi,5,2025-05-25 16:18:56,selalu amanah,selalu amanah,0.0,neutral,2,-0.028862731049493162,-0.042463917378026295
Citra Sembiring,5,2025-05-25 16:18:13,Happy shoping,happy shoping,0.5719,positive,1,-0.020691382824879843,-0.06733565317681839
Tommy Saputra,5,2025-05-25 16:17:45,Aplikasi mudah dan claim prodak yg tdk sesuai cepat prosesnya.,aplikasi mudah claim prodak yg tdk sesuai cepat proses,0.0,neutral,0,-0.08055206551523918,0.03449087749754353
Robi Maulana,5,2025-05-25 16:16:18,"mantaaapppp...selalu gratis ongkir,pilihan produk lengkap,qualitas produk toko BS dinilai berkala,🌟⭐🌟👍💯..saran : fitur pencarian produk yg msh kurang akurat",mantaaappppselalu gratis ongkirpilihan produk lengkapqualitas produk toko bs nilai berkalasaran fitur cari produk yg msh kurang akurat,0.0516,positive,0,-0.028693878453068093,-0.06712361298917541
Jaya Saputra,4,2025-05-25 16:16:01,maps pengiriman kadang muncul kadang tidak sama pengirimannya sekarang jadi agak lambat,maps kirim kadang muncul kadang sama kirim sekarang jadi lambat,0.0,neutral,0,-0.044007679052760096,-0.04204094924119095
Erna Renate Djaga kota,5,2025-05-25 16:15:56,mantap,mantap,0.0,neutral,1,0.9467811005571383,0.036887076522792155
Sutriatno,5,2025-05-25 16:15:43,aplikasi ini sangat bagus,aplikasi sangat bagus,0.0,neutral,1,-0.1438434564889974,0.6095338657426566
IHIAMI Marahullah,5,2025-05-25 16:15:29,bagus barangnya,bagus barang,0.0,neutral,1,-0.07832838578630487,0.4867390699120378
Roni Rina,4,2025-05-25 16:12:36,"GK suka sama kurir nya,Erin.kurir nya judes dan konsumen yang ambil ke rumah kurir, bukan kurir nya yang anter ke rumah konsmennya,tapi kalo dari shopee nya,belanja puas, harga murah, kualitas bagus, terimakasih shopee",gk suka sama kurir nyaerinkurir nya judes konsumen ambil rumah kurir bukan kurir nya anter rumah konsmennyatapi kalo shopee nyabelanja puas harga murah kualitas bagus terimakasih shopee,0.0,neutral,1,-0.07500546621714022,0.05559676880827524
