userName,score,at,content,clean,sentiment_score,sentiment,cluster,pca1,pca2
Chandra E,1,2025-05-25 16:30:15,"diskon voucer blom jg di pakek masih di keranjang tapi klo kita balik mau cek barang lain tiba "" ilang lah di pakek aja belum jd males beli akirnya pindah ke toko oren voucernya gak se ribet tokopedia",diskon voucer blom jg pakek keranjang klo balik mau cek barang tiba ilang lah di pakek aja jd males beli akirnya pindah toko oren voucernya gak se ribet tokopedia,0.0,neutral,2,-0.015594251134548582,-0.10749568836816023
didi Didoy,1,2025-05-25 16:07:42,"jangan percaya sama estimasi waktu pengiriman di aplikasi ini , jangan percaya diskon besar , karna harga lebih dahulu di up dri harga sebenernya ... fokus dan harus pintar",jangan percaya sama estimasi waktu kirim aplikasi jangan percaya diskon besar karna harga lebih di up dri harga sebenernya fokus harus pintar,0.0,neutral,2,-0.005574643971691965,-0.08265071850015432
Ai Kartini,5,2025-05-25 16:02:45,Tokopedia langganan gk bs kelain hati... 🥰 smg tambah berkembang Tokopedia,tokopedia langgan gk bs lain hati smg tambah kembang tokopedia,0.0,neutral,2,-0.028777222875641436,-0.07247867273244558
Nendrow,5,2025-05-25 15:55:30,bagus,bagus,0.0,neutral,2,0.7180334588095492,0.6107956927648337
bayu dwi Purnomo,1,2025-05-25 15:30:33,"Dana pengembalian belum dikirim, informasi sudah disetujui asuransi tanggal 19 Mei 2025 2x24 jam akan dikembalikan, setelah ditanya tanggal 22 Mei 2025 butuh tambahan waktu sampai tanggal 23 Mei 2025, setelah ditanyakan kembali proses masih dalam pengecekan pihak asuransi kembali, dan informasi di tanggal 24 Mei 2025 ditanyakan kembali bawah proses pengecekan pihak asuransi tidak dapat diestimasi waktu penyelesaiannya sangat mengecewakan",dana kembali kirim informasi tuju asuransi tanggal mei x jam kembali tanya tanggal mei butuh tambah waktu tanggal mei tanya proses dalam kece pihak asuransi dan informasi tanggal mei tanya bawah proses kece pihak asuransi dapat estimasi waktu selesai sangat kecewa,0.0,neutral,2,-0.005527214354012516,-0.08274253421868415
Wayan Surudarma,5,2025-05-25 14:50:46,baik,baik,0.0,neutral,2,-0.008597934411261918,-0.10581906860114997
Agoes Noersinggih,2,2025-05-25 14:26:06,Semua aplikasi Olshop sdh sy coba & akhirnya dlm jangka panjang sy memilih Toped utk jd Default Olshop tp dikarenakan promo²nya kurang relevan seperti tulisan gratis ongkir tp msh jg kena ongkir dll akhirnya sekarang sy lebih memilih toko sebelah yg sepertinya terbukti lebih baik .,semua aplikasi olshop sdh sy coba akhir dlm jangka panjang sy pilih toped utk jd default olshop tp karena promonya kurang relevan tulis gratis ongkir tp msh jg kena ongkir akhir sekarang sy lebih pilih toko belah yg seperti bukti lebih baik,0.0516,positive,2,-0.011097857667819302,-0.0979176850763784
Sam Suu,1,2025-05-25 14:06:05,pelapasan dana ke dompet pejual aanvat 7 terlalu sadis menahan saldo penjual meakipun ada orderan males mau melayani pesanan,pelapasan dana dompet jual aanvat terlalu sadis tahan saldo jual meakipun order males mau layan pesan,0.0,neutral,2,-0.004168486525618642,-0.08197893567497093
Farhan Adi,5,2025-05-25 14:05:49,suka banget sama apk satu ini😁👍,suka banget sama apk satu,0.0,neutral,2,-0.0014652741693333277,-0.09021742582933905
Nugroho Azis,1,2025-05-25 14:00:48,BURUK SEKALI KLAIM ASURANSI PEGIRIMAN DARI TGL 02 KEI 2025 BELUM DI PROSES JUGA LAMBAT DAN BERTELE-TELE PIHAK TOKOPEDIA INI. SUDAH LAPOR KE TOKIO JUGA SBG ASURANSI TOKOPEDIA TERNYATA DISANA TIDAK ADA LAPORANNYA. BURUK SEKALI PELAYANAN KALIAN. APABILA INGIN MEMPERBAIKI CITRA KALIAN BISA HUBUNGI AKUN TOKOPEDIA SAYA NUGROHO AZIS WAHYU PRASETYO,buruk sekali klaim asuransi pegiriman tgl kei di proses lambat berteletele pihak tokopedia sudah lapor tokio sbg asuransi tokopedia nyata sana ada lapor buruk sekali layan kalian apabila baik citra kalian hubung akun tokopedia nugroho azis wahyu prasetyo,0.0,neutral,0,-0.010067624632899537,-0.08490396286887679
