userName,score,at,content
Muslik Sugianto,5,2025-05-25 16:35:18,baik
Lukman Tunuu,5,2025-05-25 16:34:52,bagus dan membantu
Fun Min,5,2025-05-25 16:34:15,Suka sekali belanja di shopee.banyak bonus nya.mantap shopee.😊😊😊👍. 👍
Indri Novita,5,2025-05-25 16:34:08,memuaskan
Khanaya Assyifa,5,2025-05-25 16:31:06,belanja online yang mudah sekali
arif fahrudin,5,2025-05-25 16:31:04,maknyus
HN AMRI,5,2025-05-25 16:30:45,kurir rekomendasi shopee sangat cepat
Boy Min,5,2025-05-25 16:30:33,aplikasi yg sangat membuat belanja yg semakin mudah
akbar jaya,5,2025-05-25 16:29:28,Keren
Wahyudi Arianto,5,2025-05-25 16:29:26,luar biasa
Agung Wijaya,5,2025-05-25 16:28:44,TOP MARKOTOP
Lida Nur,5,2025-05-25 16:28:09,terbantu dengan ada nya shopee
Multi Hasby,5,2025-05-25 16:26:27,pelayanan bagus pengiriman sesuai terimakasih
Dashhh Ucihaa,5,2025-05-25 16:26:12,pelayanan Shopee terbaik
Samsi Nur iman,5,2025-05-25 16:25:21,belanja bisa di mana saja... simple
Chece Abdul Manap,2,2025-05-25 16:25:08,"pengiriman lama banget sekarang udh 5 hari belum sampe"" 🤦"
Asqia Jpr,3,2025-05-25 16:24:54,bgus
fadzza laptop,5,2025-05-25 16:24:24,sangat membantu untuk keperluan berbelanja
Almahyra Almahyra,5,2025-05-25 16:23:17,mantap
Deril Permana,5,2025-05-25 16:21:47,Alhamdulillah aplikasi nya bagus dan proses cepat dan mudah
Ahuat. Jr,5,2025-05-25 16:20:30,"belanja terjankau ,💯👍"
Ahmadi Adi,5,2025-05-25 16:20:28,ok
edi susanto,5,2025-05-25 16:20:16,ok
Robby Waworuntu,5,2025-05-25 16:20:15,sesuai jadwal
Keluarga Asnawi,5,2025-05-25 16:18:56,selalu amanah
Citra Sembiring,5,2025-05-25 16:18:13,Happy shoping
Tommy Saputra,5,2025-05-25 16:17:45,Aplikasi mudah dan claim prodak yg tdk sesuai cepat prosesnya.
Robi Maulana,5,2025-05-25 16:16:18,"mantaaapppp...selalu gratis ongkir,pilihan produk lengkap,qualitas produk toko BS dinilai berkala,🌟⭐🌟👍💯..saran : fitur pencarian produk yg msh kurang akurat"
Jaya Saputra,4,2025-05-25 16:16:01,maps pengiriman kadang muncul kadang tidak sama pengirimannya sekarang jadi agak lambat
Erna Renate Djaga kota,5,2025-05-25 16:15:56,mantap
Sutriatno,5,2025-05-25 16:15:43,aplikasi ini sangat bagus
IHIAMI Marahullah,5,2025-05-25 16:15:29,bagus barangnya
Roni Rina,4,2025-05-25 16:12:36,"GK suka sama kurir nya,Erin.kurir nya judes dan konsumen yang ambil ke rumah kurir, bukan kurir nya yang anter ke rumah konsmennya,tapi kalo dari shopee nya,belanja puas, harga murah, kualitas bagus, terimakasih shopee"
Edy Maksum,5,2025-05-25 16:12:04,layanan cepat tapi sayang payletter saya masih di bekukan padahal walaupun telat tapi tetep di bayar lunas...
Maulana Rahman,5,2025-05-25 16:12:04,Puas belanja di shopee
MERLYN ISABELLA ELYSABETH,5,2025-05-25 16:11:37,memuaskan
ozi meaty,1,2025-05-25 16:09:55,sering bug
Rio Caem,3,2025-05-25 16:09:50,kasih 3 dllu soal nya baru pakai shopie
Tasya Kaila putri,5,2025-05-25 16:06:50,aplikasi ini sangat berguna untuk memesan barang yg gak ada di kota kita
Rudi Santoso,5,2025-05-25 16:04:16,barang bagus sesuai pesanan . pengiriman siiip . kurir ramah . terima kasih shopee
Eduar Efendi,5,2025-05-25 16:03:46,pertahan kan kekonsistenan demi kepuasan konsumen
Safii Wonggondoarum,3,2025-05-25 16:03:38,"ngapain ribet pake akun,cukup nomer hp aja untuk masuk kenapa?lagian juga ntar kalo mau belanja juga pake alamat lengkap,juga apk terlalu berat untuk di di buka,harusnya buka langsung tampil,makanya ga terlalu nyaman di sini tapi kadang butuh,ahirnya abis blanja hapus lagi donlod lagi sbb masuknya ribet harus pake akun segala"
Nur Aini14,5,2025-05-25 16:03:22,baguss dan baik..
Faramitha Yulia,5,2025-05-25 16:02:12,selalu sukses selalu
Suparmin Parmin,5,2025-05-25 16:01:44,paket Shopee emang tepat waktu
Arin Da,5,2025-05-25 16:01:26,ok
Jainul Arifin,5,2025-05-25 16:00:20,kiriman.pilihan. semua baik
M.assyifa Ailatun hudori,1,2025-05-25 16:00:12,bisa GK sih GK ush ada iklan shopee di website website chrome gw mau baca manga susah ke aplikasi shopee trs tolong jangan pasang iklan di website website chrome dan yang lainnya.
Mansur Asnawi,5,2025-05-25 15:58:47,Mantap banget
Ujang Sutomo,4,2025-05-25 15:58:32,lebih ditingkatkan lagi promosi nya
BASMI Virus,1,2025-05-25 15:58:17,COD GA BISA
siswo prayitno,5,2025-05-25 15:58:08,mantab
RIZT,1,2025-05-25 15:56:22,"minta update doank...tapi...layanan..? - ada bug di status pesanan yg selesai yg masih statusnya LACAK ga ada PESANAN SELESAI,, Walaupun paket sudah di terima kelamaan di prosea kemas. -pengajuan pembatalan/pengembalian juga lama."
Uwoh Ismatullah,5,2025-05-25 15:52:09,Mantap jiwa pokonya best
Aura,5,2025-05-25 15:50:50,senang belanja dishopee
Ibunda Iis,5,2025-05-25 15:50:13,bagusssss puolll
Indonesia Raya,5,2025-05-25 15:49:18,"mantab, sangat membantu"
Bawi BujangCAZ,5,2025-05-25 15:49:01,bagus kali wakk
Mohamad isroni Isroni,5,2025-05-25 15:48:41,mantaabb lahh pokoknya shoppe
