userName,score,at,content
Chandra E,1,2025-05-25 16:30:15,"diskon voucer blom jg di pakek masih di keranjang tapi klo kita balik mau cek barang lain tiba "" ilang lah di pakek aja belum jd males beli akirnya pindah ke toko oren voucernya gak se ribet tokopedia"
didi Didoy,1,2025-05-25 16:07:42,"jangan percaya sama estimasi waktu pengiriman di aplikasi ini , jangan percaya diskon besar , karna harga lebih dahulu di up dri harga sebenernya ... fokus dan harus pintar"
Ai Kartini,5,2025-05-25 16:02:45,Tokopedia langganan gk bs kelain hati... 🥰 smg tambah berkembang Tokopedia
Nendrow,5,2025-05-25 15:55:30,bagus
bayu dwi Purnomo,1,2025-05-25 15:30:33,"Dana pengembalian belum dikirim, informasi sudah disetujui asuransi tanggal 19 Mei 2025 2x24 jam akan dikembalikan, setelah ditanya tanggal 22 Mei 2025 butuh tambahan waktu sampai tanggal 23 Mei 2025, setelah ditanyakan kembali proses masih dalam pengecekan pihak asuransi kembali, dan informasi di tanggal 24 Mei 2025 ditanyakan kembali bawah proses pengecekan pihak asuransi tidak dapat diestimasi waktu penyelesaiannya sangat mengecewakan"
Wayan Surudarma,5,2025-05-25 14:50:46,baik
Agoes Noersinggih,2,2025-05-25 14:26:06,Semua aplikasi Olshop sdh sy coba & akhirnya dlm jangka panjang sy memilih Toped utk jd Default Olshop tp dikarenakan promo²nya kurang relevan seperti tulisan gratis ongkir tp msh jg kena ongkir dll akhirnya sekarang sy lebih memilih toko sebelah yg sepertinya terbukti lebih baik .
Sam Suu,1,2025-05-25 14:06:05,pelapasan dana ke dompet pejual aanvat 7 terlalu sadis menahan saldo penjual meakipun ada orderan males mau melayani pesanan
Farhan Adi,5,2025-05-25 14:05:49,suka banget sama apk satu ini😁👍
Nugroho Azis,1,2025-05-25 14:00:48,BURUK SEKALI KLAIM ASURANSI PEGIRIMAN DARI TGL 02 KEI 2025 BELUM DI PROSES JUGA LAMBAT DAN BERTELE-TELE PIHAK TOKOPEDIA INI. SUDAH LAPOR KE TOKIO JUGA SBG ASURANSI TOKOPEDIA TERNYATA DISANA TIDAK ADA LAPORANNYA. BURUK SEKALI PELAYANAN KALIAN. APABILA INGIN MEMPERBAIKI CITRA KALIAN BISA HUBUNGI AKUN TOKOPEDIA SAYA NUGROHO AZIS WAHYU PRASETYO
Agus Mufid,2,2025-05-25 13:55:06,gada gratis ongkirnya
suken,5,2025-05-25 13:54:40,"halo min. tombol diskusi kenapa tidak bisa diakses, hanya chat yang tersedia."
Farhan,2,2025-05-25 13:54:08,iklan lu nyebelin sumpah
Muhammad Nabil,1,2025-05-25 13:52:41,"buruk tidak sesuai, barang lama datang"
Lukman Sabik,5,2025-05-25 13:48:12,mantap
Ackom Suryanurdin,5,2025-05-25 13:43:21,ok
Sayem,5,2025-05-25 13:37:51,baik
YANTO AUDI,5,2025-05-25 13:33:20,OK ..... 👌👍👍👍👍👍
agus tinus,2,2025-05-25 13:31:43,"ini saya turun bintang karna cs'a lama, baru tau di aplikasi ini pembatalan bulan dari pembeli kena potongan hati2 bli di tokped pembelian kena biaya layanan , pembatalan kena biaya layanan meskipun yg batalin bukan pembeli sungguh apa2 hanya duit2"
Noval Dzaki,4,2025-05-25 13:25:54,kok mau chek out malah eror terus yaa
Halwi Sihab,5,2025-05-25 13:18:46,tokopedia sangan membantu saya dalam segala hal
Tomy Domu Hasiholan,5,2025-05-25 13:00:00,"oke bagus , coba di tingkatkan cara pembayaran nya , ada metode bayar melalui QRIS"
Muhtar Ovien,5,2025-05-25 12:47:04,mantap lebih simple dan kren
Muhammad zulfan Hasan,5,2025-05-25 12:46:39,gampang kalo mau bayar bisa lewat pembayaran digital
Prana Sanjaya,5,2025-05-25 12:45:41,aplikasi yg sgt mudah & membantu sekaleee
mhd ating,5,2025-05-25 12:30:12,belanja di sini memuaskan. pelayanan bagus dan bertanggung jawab... lebih di tingkatkan lagi... TRIms tokped
Suhar,3,2025-05-25 12:25:30,"tolong di perbaiki appsnya, skarang banyak banget toko yg kasih harga murah tapi pas MW checkout kagak bisa tulisan error. jadi kayak kesannya dimanfaatin buat iklan gratis .. 🤣🤣🤣. sering kejebak Mulu Ampe stress gw pake nih apps. sementara pindah shopee dulu lah."
Achmad Apriyudin,1,2025-05-25 12:09:24,toko online termahal se-Indonesia
Saepul Akbar,5,2025-05-25 12:03:45,mohon untuk pihak toko pedia saya tidak pernah menggunakan aplikasi tokopedia dan saya tidak pernah melakukan transaksi apaun di aplikasi tapi tiba2 saya WA notifikasi kode verifikasi padahal sy tidak menggunakan aplikasi ini mohon apabila ada hal2 diluar kendali saya saya tidak pernah memakai aplikasi ini terima kasih
Mohamad Ridwan Morid,5,2025-05-25 11:28:42,oke daahh
Nur Sholihin,5,2025-05-25 11:23:01,bagus sekali
Rainers khan Sianipar22,5,2025-05-25 11:19:16,ok
